,SourceFile,Page,PageUtterances,PageSpeakers,PageEmotions,PagePanels,PageBalloons,FileNr,Split,ComicBookTitle,image_path
10,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,11,"[""GIGANTA SAID, IN ORDER TO FIND THIS EVIL'S LOCATION, I HAD TO SEE IT FROM UP HIGH."", 'THIS WILL GET US THERE.', 'COME, CHILD…', ""… LET'S GO FIND JOKERZARD!""]","['BATSAUR', 'BATSAUR', 'BATSAUR', 'BATSAUR']","[""['Anger']"", ""['Joy']"", ""['Joy']"", ""['Anger']""]","[1, 2, 3, 4]","[1, 1, 1, 2]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00011.jpg
11,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,12,"['SUPERSAUR, WE MUST MOVE THE PEOPLE TO THE GREAT MOUNTAIN.', ""SOMETHING TELLS ME WE'RE RUNNING OUT OF TIME."", 'DEAR MOTHER, THE DINOSAURS HERE BICKER CONSTANTLY. THERE IS DISUNITY. NO ONE TRUSTS EACH OTHER.', 'IT MAKES ME MISS TRIMYSCIRA AND HOW WE COULD GIVE IN TO EACH OTHER COMPLETELY WITH NO FEAR OF BETRAYAL.', 'WE ARE MAKING DEFENSES AND PREPARING FOR THIS UNKNOWN TERROR TO COME. BUT I KNOW IT IS NOT ENOUGH.', 'I MUST RALLY THESE GREAT DINOSAURS TO A HIGHER CAUSE.', 'BUT HOW CAN I, WITH DEATH SO NEAR?', 'HOW CAN I INSPIRE WITH ONLY A BONE SWORD AND SHIELD?']","['WONDERDON', 'WONDERDON', 'WONDERDON', 'WONDERDON', 'WONDERDON', 'WONDERDON', 'WONDERDON', 'WONDERDON']","[""['Fear']"", ""['Sadness']"", ""['Sadness']"", ""['Sadness']"", ""['Fear', 'Sadness']"", ""['Fear']"", ""['Fear']"", ""['Sadness']""]","[1, 1, 1, 1, 2, 3, 3, 4]","[1, 2, 3, 4, 1, 1, 2, 1]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00012.jpg
12,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,13,"['< MY SON.> *', '< HELLO, FATHER. >', '< FATHER… AM I WEAK? >', '< WEAK? WHATEVER DO YOU MEAN? >', '< SHOULD I HAVE LEFT WITH BATSAUR?', 'IS MY JOB TO HUNT ALL EVIL? EVERYWHERE? >', ""< I… I DON'T KNOW, MY BOY. >"", '<… BUT ONE THING I DO KNOW… IS HOW GOOD YOU ARE. INSIDE AND OUT. >', '<THEY NEED TO SEE THAT. THE WHOLE WORLD NEEDS TO SEE.', ""AND… YOU CAN'T CHANGE THE WORLD IF YOU STAY HERE. >"", ""< BUT DAD… YOU AND MOM ARE HERE. I CAN'T LEAVE YOU. I HAVE TO KEEP YOU SAFE.>"", ""<YOU MUSTN'T WORRY YOURSELF OVER US TOO MUCH. WE CAN TAKE CARE OF OURSELVES. YOU'VE TAUGHT US HOW STRONG WE ARE.>"", ""< I KNOW YOU'LL DO THE RIGHT THING.>""]","['FATHER', 'SUPERSAUR', 'SUPERSAUR', 'FATHER', 'SUPERSAUR', 'SUPERSAUR', 'FATHER', 'FATHER', 'FATHER', 'FATHER', 'SUPERSAUR', 'FATHER', 'FATHER']","[""['Joy']"", ""['Joy']"", ""['Sadness']"", ""['Surprise']"", ""['Sadness']"", ""['Surprise']"", ""['Fear', 'Surprise']"", ""['Joy']"", ""['Joy']"", ""['Sadness']"", ""['Sadness', 'Surprise']"", ""['Sadness', 'Joy']"", ""['Sadness', 'Joy']""]","[1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 7, 7, 8]","[1, 1, 1, 2, 1, 2, 3, 1, 1, 2, 1, 2, 1]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00013.jpg
13,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,14,"['WHAT MADNESS IS THIS-- BEING THRASHED BY SOME WORTHLESS EGG?!', '#WHOM! WHOM! WHOM!', 'DO YOUR WORST!', 'FINISH IT ALREADY!']","['ID-2', 'BLACKMANTASAURUS', 'ID-2', 'ID-2']","[""['Anger', 'Surprise']"", ""['Anger', 'Joy']"", ""['Anger']"", ""['Anger']""]","[1, 2, 2, 4]","[2, 1, 2, 1]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00014.jpg
14,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,15,"['HANG ON, AQUANYX!', 'MY BROTHERS!', ""COME ON, I'LL GET YOU OUTTA HERE WHILE TORCH GIVES US COVER."", 'OH NO! WHY DID YOU BRING JOKERZARD AND REVERSE-SLASH WITH YOU?', ""WE DIDN'T WANT THEM TO CAUSE ANY MORE TROUB-"", '#AIEEE!', 'NO, MY MASTER, PLEA--', '#MUNCH! MUNCH!', '#GLUPS!', 'YES.', 'FINALLY.']","['GREEN TORCH', 'AQUANYX', 'FLASHRAPTOR', 'AQUANYX', 'FLASHRAPTOR', 'REVERSE-SLASH', 'REVERSE-SLASH', 'BLACKMANTASAURUS', 'BLACKMANTASAURUS', 'BLACKMANTASAURUS', 'BLACKMANTASAURUS']","[""['Fear']"", ""['Surprise', 'Joy']"", ""['Fear']"", ""['Surprise']"", ""['Fear']"", ""['Fear', 'Surprise']"", ""['Fear']"", ""['Joy']"", ""['Joy']"", ""['Joy']"", ""['Joy']""]","[1, 2, 3, 3, 3, 5, 5, 7, 7, 7, 7]","[2, 1, 1, 2, 3, 2, 3, 1, 2, 3, 4]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00015.jpg
15,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,16,"['THE TIME HAS COME TO HATCH.', 'STOP GAWKING AND GET US OUT OF HERE, BROTHERS!', ""LET'S GO!""]","['BLACKMANTASAURUS', 'AQUANYX', 'GREEN TORCH']","[""['Joy']"", ""['Anger', 'Fear']"", ""['Fear']""]","[1, 1, 1]","[1, 4, 6]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00016.jpg
16,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,17,"['#GRRRPP! ', 'GRRRPP!', 'FUEL FROM THE WEAKLINGS ON THIS PITIFUL EARTH…', 'THE LIFE ENERGY FROM MY OWN WARRIORS…']","['BLACKMANTASAURUS', 'BLACKMANTASAURUS', 'BLACKMANTASAURUS', 'BLACKMANTASAURUS']","[""['Anger']"", ""['Anger']"", ""['Disgust', 'Joy']"", ""['Joy']""]","[4, 4, 5, 5]","[3, 3, 1, 2]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00017.jpg
17,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,19,['..HAS FINALLY LED TO MY TRUE FORM!'],['BLACKMANTASAURUS'],"[""['Anger', 'Joy']""]",[1],[1],1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00019.jpg
18,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,20,"['I KNOW THE BEINGS OF THIS WORLD ARE TRYING TO RISE AGAINST ME…', '… BUT I WILL CRUSH THEM IN DUE TIME!', 'FOR MY FIRST TASK...', '… I MUST REMOVE THIS WORLD OF THEIR GODS!', 'TRIMYSCIRA! DARKYLOSEID IS COMING FOR YOU!']","['BLACKMANTASAURUS', 'BLACKMANTASAURUS', 'BLACKMANTASAURUS', 'BLACKMANTASAURUS', 'BLACKMANTASAURUS']","[""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger', 'Joy']"", ""['Anger']""]","[1, 1, 2, 2, 2]","[1, 2, 1, 2, 3]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00020.jpg
19,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,1,"['DID YOU HAVE TO ELECTROCUTE HER SO HARD?', ""IT'S NOT LIKE I HAVE DIFFERENT SETTINGS."", ""YOU'RE ELECTROCUTIONER. IT'S YOUR WHOLE THING. YOU'D THINK YOU'D HAVE SOME DEGREE OF CONTROL?"", ""OH, HEY. I THINK SHE'S AWAKE."", 'WELCOME BACK, MADAM MAYOR. BLOCKBUSTER IS PRETTY PISSED WITH YOU.', ""HE KNOWS YOU'RE WORKING WITH DICK GRAYSON."", 'HE WANTS ME TO GET INFORMATION OUT OF YOU.', ""SHE'S AWAKE, BOSS. SHE--""]","['ID-1', 'ID-2', 'ID-1', 'ID-2', 'ID-1', 'ID-1', 'ID-1', 'ID-1']","[""['Fear', 'Surprise']"", ""['Surprise']"", ""['Fear']"", ""['Surprise']"", ""['Anger']"", ""['Anger', 'Surprise']"", ""['Joy']"", ""['Joy']""]","[2, 2, 2, 3, 4, 4, 4, 6]","[1, 2, 3, 1, 1, 2, 3, 1]",1500,TRAIN,Nightwing #95,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001500/images/page00001.jpg
20,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,3,"['CAN YOU WALK?', 'HOW DID YOU FIND ME?', ""ORACLE HAD THE LAST PING OFF YOUR PHONE. AND AUDRE FOLLOWED BLOCKBUSTER'S LIMO."", ""AUDRE'S HERE?"", 'IN A CAR OUTSIDE.', ""SHE WASN'T SUPPOSED TO FOLLOW. I TOLD HER I'D BE OKAY."", 'SURE. AND I CAN APPRECIATE THAT AS THE POSTER BOY FOR STUBBORN SELF-RELIANCE.', 'BUT I THINK YOU HAVE TO CEDE THE MORAL HIGH GROUND TO AUDRE HERE, SEEING AS YOU WERE KIDNAPPED AND ELECTROCUTED.', 'NIGHTWING…']","['NIGHTWING', 'MELINDA', 'NIGHTWING', 'MELINDA', 'NIGHTWING', 'MELINDA', 'NIGHTWING', 'NIGHTWING', 'MELINDA']","[""['Fear']"", ""['Surprise']"", ""['Joy']"", ""['Fear', 'Surprise']"", ""['Joy']"", ""['Fear']"", ""['Joy']"", ""['Fear', 'Sadness']"", ""['Surprise']""]","[3, 3, 3, 4, 4, 4, 5, 5, 5]","[1, 2, 3, 1, 2, 3, 1, 2, 3]",1500,TRAIN,Nightwing #95,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001500/images/page00003.jpg
21,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,4,"['I AM VERY DISAPPOINTED TO SEE THIS, MELINDA.', 'OKAY…', ""… I GUESS WE'RE GOING THROUGH YOU."", 'YOU THINK YOU CAN GO THROUGH ME?! NOTHING CAN--']","['BLOCKBUSTER', 'NIGHTWING', 'NIGHTWING', 'BLOCKBUSTER']","[""['Anger', 'Sadness']"", ""['Anger']"", ""['Anger']"", ""['Anger']""]","[1, 2, 3, 3]","[1, 1, 1, 2]",1500,TRAIN,Nightwing #95,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001500/images/page00004.jpg
22,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,5,"['GET IN!', 'AUDRE!', 'HEY!', '#HNNNN. ', 'GO. GO. GO.', '"" TELL US EVERYTHING YOU KNOW. ""']","['AUDRE', 'MELINDA', 'ID-1', 'BLOCKBUSTER', 'NIGHTWING', 'BLOCKBUSTER']","[""['Fear']"", ""['Surprise']"", ""['Surprise']"", ""['Fear', 'Surprise']"", ""['Fear']"", ""['Anger']""]","[2, 2, 3, 3, 4, 4]","[2, 3, 1, 2, 1, 3]",1500,TRAIN,Nightwing #95,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001500/images/page00005.jpg
23,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,6,"['YOU WORKING FOR MAGGIE SAWYER NOW, ARE YOU, DETECTIVES?', ""I'VE NEVER BEEN YOUR BIGGEST FAN, EX-COMMISSIONER MACLEAN. I'M MORE THAN HAPPY TO PUT YOU AWAY."", ""OH, I'M NOT GOING AWAY."", ""THERE'S A FILE."", 'WHAT FILE?', 'A BLOCKBUSTER FILE. EVERY INTEREST HE HAS. SPREADSHEETS. DROP-OFFS. ACCOUNTS. HE ASKED ME TO KEEP IT SAFE.', 'WHERE IS IT?', ""I… CAN'T ANSWER THAT."", 'DO YOU NOT HAVE IT, THEN?', ""OF COURSE I HAVE IT. BUT IT'S HIDDEN."", ""DOES ANYONE OTHER THAN YOU KNOW WHERE IT'S HIDDEN?"", ""ABSOLUTELY NOT. IT'S MY INSURANCE. THE ONLY WAY ANYONE GETS THEIR HANDS ON THOSE FILES IS IF I GET FULL IMMUNITY.""]","['MACLEAN', 'ID-3', 'MACLEAN', 'MACLEAN', 'ID-3', 'MACLEAN', 'ID-3 ', 'MACLEAN', 'ID-3', 'MACLEAN', 'ID-3 ', 'MACLEAN']","[""['Surprise']"", ""['Anger', 'Joy']"", ""['Anger']"", ""['Joy']"", ""['Surprise']"", ""['Joy']"", ""['Surprise']"", ""['Fear']"", ""['Surprise']"", ""['Joy']"", ""['Fear']"", ""['Fear', 'Joy']""]","[1, 1, 1, 2, 3, 3, 4, 4, 4, 5, 5, 5]","[2, 3, 4, 1, 1, 2, 1, 2, 3, 1, 2, 3]",1500,TRAIN,Nightwing #95,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001500/images/page00006.jpg
24,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,7,"[""SO, YOU'LL TURN THE FILES OVER IF YOU'RE PROMISED PROTECTION?"", 'MAGGIE SAWYER WOULD HAVE TO ASK VERY NICELY BUT, YES, I THINK WE COULD MAKE A DEAL.', ""THAT'S A SHAME."", 'WHAT DO YOU MEAN?', ""THAT'S NOT WHAT BLOCKBUSTER WANTED TO HEAR AT ALL.""]","['ID-3', 'MACLEAN', 'ID-3', 'MACLEAN', 'ID-3']","[""['Fear', 'Surprise']"", ""['Joy']"", ""['Sadness', 'Surprise']"", ""['Surprise']"", ""['Anger', 'Sadness']""]","[1, 2, 3, 3, 4]","[1, 1, 1, 2, 1]",1500,TRAIN,Nightwing #95,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001500/images/page00007.jpg
25,QC copy - 1500 - 04 Nightwing 19 _Nightwing 95_.xlsx,8,"['@ # $ %.', 'WHO WAS IN HERE WITH HIM?', 'WHO?!', 'THIS @ # $ % # & CITY!', 'MAGGIE.', ""IT'S THE MAYOR. SHE WANTS TO TALK. IN PRIVATE.""]","['MAGGIE', 'MAGGIE', 'MAGGIE', 'MAGGIE', 'COMMISSIONER', 'COMMISSIONER']","[""['Anger', 'Sadness']"", ""['Anger']"", ""['Anger']"", ""['Anger', 'Disgust']"", '[Neutral]', ""['Surprise']""]","[1, 2, 3, 5, 5, 6]","[2, 1, 1, 1, 2, 1]",1500,TRAIN,Nightwing #95,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001500/images/page00008.jpg
